"","objid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","specobjid","class","redshift","plate","mjd","fiberid"
"1",1237649964067848448,54.6303832152573,-5.38107462319408,20.46228,18.95428,18.28576,17.99638,17.89549,1045,301,6,138,2330712650406717440,"STAR",0.0006537517,2070,53729,363
"2",1237649964067848448,54.6399202817879,-5.39353223057614,20.45688,19.03377,18.48083,18.27447,18.14284,1045,301,6,138,2330716498697414656,"STAR",1.893617e-05,2070,53729,377
"3",1237649964067848448,54.656957805251,-5.43643867095829,20.8487,19.26105,18.67032,18.48073,18.28241,1045,301,6,138,2330715948941600768,"STAR",-5.228378e-05,2070,53729,375
"4",1237649964067848448,54.6610241204239,-5.2862525996873,19.59462,17.98973,17.38827,17.17789,17.05689,1045,301,6,138,2308194097011124224,"STAR",0.0001390498,2050,53401,361
"5",1237649964067848448,54.6853282275378,-5.39239994906367,20.71037,18.96092,18.29454,18.02677,17.86436,1045,301,6,138,2330714574552066048,"STAR",0.0003310891,2070,53729,370
"6",1237649964067848448,54.5705407849594,-5.26035101879483,21.9032,20.61111,20.36374,20.22222,20.27911,1045,301,6,138,2330703304557881344,"STAR",-5.211883e-05,2070,53729,329
"7",1237649964067848704,54.6434417935579,-5.34081537158554,26.12472,22.98236,21.46409,19.49227,18.38174,1045,301,6,138,520277389419243520,"STAR",4.417921e-05,462,51909,406
"8",1237649964067913728,54.7063209176795,-5.38263249904053,16.48443,15.40966,15.11532,15.02317,15.00822,1045,301,6,139,2308194921644845056,"STAR",0.000348747,2050,53401,364
"9",1237649964067913984,54.686159367258,-5.33983494510442,19.57977,18.18364,17.61518,17.39694,17.26024,1045,301,6,139,2308195471400658944,"STAR",0.0007745087,2050,53401,366
"10",1237649964067913984,54.7463403431351,-5.30778726011926,22.13736,20.79062,20.26417,20.03773,19.8305,1045,301,6,139,2330715124307879936,"STAR",-0.0006025485,2070,53729,372
"11",1237649964067913984,54.7766712707132,-5.25733699473029,21.14045,20.18859,19.95345,19.85983,19.70125,1045,301,6,139,2330713475040438272,"STAR",1.311787e-05,2070,53729,366
"12",1237649964067979264,54.9662806364993,-5.20808397794068,18.2193,16.77921,16.29695,16.145,16.08203,1045,301,6,140,2308205367005308928,"STAR",-0.0002388024,2050,53401,402
"13",1237649964067979264,54.8584556599312,-5.29099482452944,19.55845,18.03698,17.45229,17.23507,17.13822,1045,301,6,140,2308195196522752000,"STAR",-0.0001114511,2050,53401,365
"14",1237649964067979264,54.8589553593027,-5.26128887731965,21.01455,20.17326,19.84706,19.6623,20.1076,1045,301,6,140,2330713200162531328,"STAR",-0.0006928609,2070,53729,365
"15",1237649964067979264,54.9104399522106,-5.39920776705567,21.67093,20.16847,19.57929,19.29054,19.17497,1045,301,6,140,2330712925284624384,"STAR",0.0001504726,2070,53729,364
"16",1237649964068044800,55.0150000871945,-5.34871558780062,18.25816,16.46836,15.87941,15.5571,15.33484,1045,301,6,141,2308206191639029760,"STAR",-0.0002024163,2050,53401,405
"17",1237649964068044800,55.066691061473,-5.23402403379302,17.54718,16.33702,16.19579,16.19462,16.21391,1045,301,6,141,2308207291150657536,"STAR",0.0005305614,2050,53401,409
"18",1237649964068045056,55.0322978689351,-5.35523891451085,20.89944,19.58562,18.97171,18.75019,18.65121,1045,301,6,141,2330725019912529920,"STAR",-0.0004167267,2070,53729,408
"19",1237649964068045056,55.0784500680256,-5.37524865722751,19.841,18.24175,17.63066,17.415,17.33624,1045,301,6,141,2308210314807633920,"STAR",-0.0002724181,2050,53401,420
"20",1237649964068045056,55.0891743034259,-5.30040377674424,21.06884,19.95586,19.37551,19.28149,19.22235,1045,301,6,141,2330728043569506304,"STAR",6.872466e-05,2070,53729,419
"21",1237649964068045056,55.0769883402462,-5.36590843292746,21.2526,20.26681,19.97502,19.92499,19.96403,1045,301,6,141,2330725569668343808,"STAR",-0.0005331466,2070,53729,410
"22",1237649964068045056,55.1340616777929,-5.3239856943784,20.57954,20.2279,20.24964,20.29188,20.32592,1045,301,6,141,2330727768691599360,"STAR",-0.003103288,2070,53729,418
"23",1237649964068110336,55.1434267776855,-5.28633534808029,16.0212,15.04538,14.71856,14.58709,14.57695,1045,301,6,142,2308205092127401984,"STAR",-0.0001003407,2050,53401,401
"24",1237649964068175872,55.2853318014844,-5.25250737035447,21.66926,19.17277,17.88594,17.43265,17.12829,1045,301,6,143,520313948180867072,"STAR",-2.329342e-05,462,51909,539
"25",1237649964068176128,55.3643887166187,-5.28958871134564,18.80684,17.25921,16.64474,16.4515,16.35764,1045,301,6,143,2308220210412283904,"STAR",2.479487e-05,2050,53401,456
"26",1237649964068176128,55.4228630114916,-5.22416922481501,16.14125,14.71289,14.17676,14.01663,13.98282,1045,301,6,143,2.308221035046e+18,"STAR",0.0001554813,2050,53401,459
"27",1237649964068176128,55.3079458696211,-5.18774514223252,20.37147,19.26898,18.68173,18.47272,18.29952,1045,301,6,143,2330737664296249344,"STAR",0.0003634823,2070,53729,454
"28",1237649964068176128,55.3289128415317,-5.32274585658639,20.83047,19.98614,19.64904,19.50758,19.45043,1045,301,6,143,2330739313563691008,"STAR",0.0005095302,2070,53729,460
"29",1237649964068176128,55.3707080436144,-5.28705911537451,20.47062,18.77572,18.11032,17.90939,17.76047,1045,301,6,143,2330734090883459072,"STAR",0.0001145671,2070,53729,441
"30",1237649964068176128,55.4291082325393,-5.2734701353854,21.27243,20.30074,20.02994,20.07749,20.00665,1045,301,6,143,2330737939174156288,"STAR",-0.0003468314,2070,53729,455
"31",1237649964068241408,55.4398012645683,-5.27798137443319,18.70758,16.70299,15.97122,15.7504,15.64861,1045,301,6,144,2308220485290190848,"STAR",6.591733e-05,2050,53401,457
"32",1237649964068241408,55.4307855792083,-5.16076216009043,18.14164,16.54978,15.96036,15.76024,15.67016,1045,301,6,144,2308218286266935296,"STAR",7.305077e-05,2050,53401,449
"33",1237649964068241664,55.4916989153966,-5.31207380224328,19.32267,17.81147,17.22762,17.01637,16.91282,1045,301,6,144,2308218011389028352,"STAR",-0.000216621,2050,53401,448
"34",1237649964068241664,55.5108669462676,-5.27891533256877,20.74765,19.30548,18.69449,18.48402,18.41669,1045,301,6,144,2330739038685784064,"STAR",-1.092283e-05,2070,53729,459
"35",1237649964068241664,55.5099694035994,-5.24368171379614,21.27147,19.5212,18.76133,18.41319,18.2737,1045,301,6,144,2330736289906714624,"STAR",0.0007373359,2070,53729,449
"36",1237649964068241664,55.5269898754333,-5.13613177568615,21.02626,19.31898,18.4503,18.1155,17.90551,1045,301,6,144,2330757180627642368,"STAR",0.000481089,2070,53729,525
"37",1237649964068241664,55.5359596777502,-5.22463542938472,21.58888,20.70819,20.45289,20.2548,20.20514,1045,301,6,144,2330736839662528512,"STAR",-6.578474e-06,2070,53729,451
"38",1237649964068306944,55.6629947193366,-5.20863869997246,17.99757,16.34871,15.71437,15.50229,15.41972,1045,301,6,145,2308240001621583872,"STAR",5.113076e-05,2050,53401,528
"39",1237649964068307200,55.6991283644644,-5.26347454601974,19.24438,18.33575,18.05283,17.93375,17.94525,1045,301,6,145,520321095006447616,"STAR",0.000235302,462,51909,565
"40",1237649964068307200,55.6966934419712,-5.20019308939198,20.3934,19.59888,19.26279,19.07865,19.08917,1045,301,6,145,2330759379650897920,"STAR",0.0005567806,2070,53729,533
"41",1237649964068307200,55.7249354447179,-5.19972649448152,20.3088,18.88869,18.33405,18.14069,18.04104,1045,301,6,145,2330756905749735424,"STAR",3.744951e-05,2070,53729,524
"42",1237649964068307200,55.6751780706263,-5.25328187662063,21.45509,20.28167,19.72159,19.54006,19.37579,1045,301,6,145,2330756630871828480,"STAR",-0.0006358839,2070,53729,523
"43",1237649964068372480,55.7425808525618,-5.22862138804035,18.26831,17.84122,17.92896,18.0808,18.26699,1045,301,6,146,2330758555017177088,"STAR",-8.180844e-05,2070,53729,530
